"CustomerID.1","Path.1","HoursByPath.1","TotalHours.1"
"1","BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora","0-->0.00-->0.00-->0.00-->0.00-->26.00-->0.00-->0.00-->0.00-->0.00-->0.00-->27.00-->26.00-->24.00-->27.00-->28.00","158"
"2","BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora","0-->0.00-->0.00-->0.00-->0.00-->26.00-->0.00-->0.00-->0.00-->0.00-->0.00-->27.00-->26.00-->24.00-->27.00-->28.00","158"
