"CustomerID","BI Google","BI Pandora","BI Quantcast","Path.1","Last_Touch.1","First_Touch.1"
1,NA,9,7,"BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora","BI Pandora","BI Quantcast"
2,7,13,6,"BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Quantcast-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora-->BI Pandora","BI Pandora","BI Quantcast"
